timestamp_utc,asset_id,vibration_mm_s,bearing_temp_c,motor_current_a,flow_l_min,quality_flag
2026-09-20T06:00:00Z,DEMO-FAN-01,2.50,40.3,4.30,,ok
2026-09-20T06:00:00Z,DEMO-PUMP-03,2.08,45.7,8.06,99.2,ok
2026-09-20T06:00:00Z,DEMO-PUMP-04,1.96,44.9,8.02,100.0,ok
2026-09-20T06:01:00Z,DEMO-FAN-01,2.54,38.1,4.34,,ok
2026-09-20T06:01:00Z,DEMO-PUMP-03,1.93,46.6,7.88,101.0,ok
2026-09-20T06:01:00Z,DEMO-PUMP-04,2.15,45.8,8.01,101.9,ok
2026-09-20T06:02:00Z,DEMO-FAN-01,2.88,38.0,4.09,,ok
2026-09-20T06:02:00Z,DEMO-PUMP-03,1.99,46.9,8.14,99.6,ok
2026-09-20T06:02:00Z,DEMO-PUMP-04,1.92,45.9,8.06,100.1,ok
2026-09-20T06:03:00Z,DEMO-FAN-01,2.82,38.6,4.20,,ok
2026-09-20T06:03:00Z,DEMO-PUMP-03,2.11,44.7,8.11,101.0,ok
2026-09-20T06:03:00Z,DEMO-PUMP-04,2.06,46.1,7.99,98.1,ok
2026-09-20T06:04:00Z,DEMO-FAN-01,2.75,39.7,4.22,,ok
2026-09-20T06:04:00Z,DEMO-PUMP-03,2.12,46.9,7.96,98.7,ok
2026-09-20T06:04:00Z,DEMO-PUMP-04,2.10,46.9,8.16,99.2,ok
2026-09-20T06:05:00Z,DEMO-FAN-01,2.85,40.2,4.19,,ok
2026-09-20T06:05:00Z,DEMO-PUMP-03,2.02,46.1,8.19,98.2,ok
2026-09-20T06:05:00Z,DEMO-PUMP-04,2.19,45.4,8.19,101.8,ok
2026-09-20T06:06:00Z,DEMO-FAN-01,2.75,38.5,4.10,,ok
2026-09-20T06:06:00Z,DEMO-PUMP-03,1.80,46.7,7.85,100.9,ok
2026-09-20T06:06:00Z,DEMO-PUMP-04,1.86,46.3,7.89,101.3,ok
2026-09-20T06:07:00Z,DEMO-FAN-01,2.66,38.6,4.07,,ok
2026-09-20T06:07:00Z,DEMO-PUMP-03,1.91,44.6,7.81,99.4,ok
2026-09-20T06:07:00Z,DEMO-PUMP-04,2.08,46.4,8.05,101.6,ok
2026-09-20T06:08:00Z,DEMO-FAN-01,2.82,39.3,4.35,,ok
2026-09-20T06:08:00Z,DEMO-PUMP-03,2.09,45.8,8.10,98.4,ok
2026-09-20T06:08:00Z,DEMO-PUMP-04,2.07,46.2,8.17,98.9,ok
2026-09-20T06:09:00Z,DEMO-FAN-01,2.51,38.7,4.25,,ok
2026-09-20T06:09:00Z,DEMO-PUMP-03,1.85,45.1,8.03,99.5,ok
2026-09-20T06:09:00Z,DEMO-PUMP-04,2.03,46.4,7.81,100.7,ok
2026-09-20T06:10:00Z,DEMO-FAN-01,2.86,38.4,4.16,,ok
2026-09-20T06:10:00Z,DEMO-PUMP-03,2.01,45.5,8.11,99.4,ok
2026-09-20T06:10:00Z,DEMO-PUMP-04,1.83,45.6,8.08,102.0,ok
2026-09-20T06:11:00Z,DEMO-FAN-01,2.72,41.0,4.26,,ok
2026-09-20T06:11:00Z,DEMO-PUMP-03,2.12,44.2,7.85,100.0,ok
2026-09-20T06:11:00Z,DEMO-PUMP-04,2.06,44.5,7.94,101.6,ok
2026-09-20T06:12:00Z,DEMO-FAN-01,2.61,40.9,4.08,,ok
2026-09-20T06:12:00Z,DEMO-PUMP-03,1.83,46.8,8.15,99.1,ok
2026-09-20T06:12:00Z,DEMO-PUMP-04,1.86,45.4,8.06,101.6,ok
2026-09-20T06:13:00Z,DEMO-FAN-01,2.71,38.4,4.07,,ok
