timestamp_utc,asset_id,vibration_mm_s,bearing_temp_c,motor_current_a,flow_l_min,quality_flag
2026-09-20T06:00:00Z,DEMO-FAN-01,2.91,40.6,4.20,,ok
2026-09-20T06:00:00Z,DEMO-PUMP-03,1.82,46.7,7.97,99.5,ok
2026-09-20T06:00:00Z,DEMO-PUMP-04,1.93,45.5,7.89,100.2,ok
2026-09-20T06:01:00Z,DEMO-FAN-01,2.95,38.4,4.02,,ok
2026-09-20T06:01:00Z,DEMO-PUMP-03,2.15,45.2,8.07,99.8,ok
2026-09-20T06:01:00Z,DEMO-PUMP-04,1.84,44.9,7.92,99.8,ok
2026-09-20T06:02:00Z,DEMO-FAN-01,2.97,40.0,4.18,,ok
2026-09-20T06:02:00Z,DEMO-PUMP-03,1.90,44.6,7.92,100.5,ok
2026-09-20T06:02:00Z,DEMO-PUMP-04,2.15,45.4,7.80,98.6,ok
2026-09-20T06:03:00Z,DEMO-FAN-01,2.93,38.7,4.33,,ok
2026-09-20T06:03:00Z,DEMO-PUMP-03,1.85,44.6,7.82,99.2,ok
2026-09-20T06:03:00Z,DEMO-PUMP-04,1.81,44.8,8.03,99.7,ok
2026-09-20T06:04:00Z,DEMO-FAN-01,2.75,40.9,4.08,,ok
2026-09-20T06:04:00Z,DEMO-PUMP-03,2.11,45.2,7.84,98.2,ok
2026-09-20T06:04:00Z,DEMO-PUMP-04,2.06,45.9,7.83,101.5,ok
2026-09-20T06:05:00Z,DEMO-FAN-01,2.80,40.7,4.28,,ok
2026-09-20T06:05:00Z,DEMO-PUMP-03,2.00,45.7,7.88,98.9,ok
2026-09-20T06:05:00Z,DEMO-PUMP-04,1.89,46.8,8.03,101.7,ok
2026-09-20T06:06:00Z,DEMO-FAN-01,2.92,39.3,4.25,,ok
2026-09-20T06:06:00Z,DEMO-PUMP-03,2.16,46.8,8.06,99.7,ok
2026-09-20T06:06:00Z,DEMO-PUMP-04,2.09,44.6,8.18,98.7,ok
2026-09-20T06:07:00Z,DEMO-FAN-01,2.59,40.0,4.26,,ok
2026-09-20T06:07:00Z,DEMO-PUMP-03,1.84,44.6,8.04,99.7,ok
2026-09-20T06:07:00Z,DEMO-PUMP-04,1.87,45.2,8.02,99.4,ok
2026-09-20T06:08:00Z,DEMO-FAN-01,2.94,39.2,4.05,,ok
2026-09-20T06:08:00Z,DEMO-PUMP-03,1.94,46.3,8.17,99.7,ok
2026-09-20T06:08:00Z,DEMO-PUMP-04,2.14,45.3,8.17,98.4,ok
2026-09-20T06:09:00Z,DEMO-FAN-01,2.97,38.4,4.12,,ok
2026-09-20T06:09:00Z,DEMO-PUMP-03,2.10,44.1,7.81,101.3,ok
2026-09-20T06:09:00Z,DEMO-PUMP-04,2.11,44.2,7.89,99.1,ok
2026-09-20T06:10:00Z,DEMO-FAN-01,2.92,39.6,4.26,,ok
2026-09-20T06:10:00Z,DEMO-PUMP-03,1.88,46.2,7.90,101.1,ok
2026-09-20T06:10:00Z,DEMO-PUMP-04,1.87,44.0,8.05,102.0,ok
2026-09-20T06:11:00Z,DEMO-FAN-01,2.56,39.2,4.40,,ok
2026-09-20T06:11:00Z,DEMO-PUMP-03,1.85,44.5,8.13,101.6,ok
2026-09-20T06:11:00Z,DEMO-PUMP-04,1.96,44.4,8.14,101.6,ok
2026-09-20T06:12:00Z,DEMO-FAN-01,2.78,40.0,4.07,,ok
2026-09-20T06:12:00Z,DEMO-PUMP-03,1.82,45.2,7.92,101.5,ok
2026-09-20T06:12:00Z,DEMO-PUMP-04,2.07,45.3,8.09,101.1,ok
2026-09-20T06:13:00Z,DEMO-FAN-01,2.52,39.1,4.32,,ok
2026-09-20T06:13:00Z,DEMO-PUMP-03,1.84,44.7,7.82,99.4,ok
2026-09-20T06:13:00Z,DEMO-PUMP-04,2.12,44.1,8.05,99.1,ok
2026-09-20T06:14:00Z,DEMO-FAN-01,2.88,38.1,4.07,,ok
2026-09-20T06:14:00Z,DEMO-PUMP-03,2.14,44.1,7.98,100.3,ok
2026-09-20T06:14:00Z,DEMO-PUMP-04,1.88,45.5,8.09,98.8,ok
2026-09-20T06:15:00Z,DEMO-FAN-01,2.77,39.7,4.30,,ok
2026-09-20T06:15:00Z,DEMO-PUMP-03,1.92,45.0,8.14,100.4,ok
2026-09-20T06:15:00Z,DEMO-PUMP-04,1.87,45.2,7.83,99.4,ok
2026-09-20T06:16:00Z,DEMO-FAN-01,2.78,38.2,4.10,,ok
2026-09-20T06:16:00Z,DEMO-PUMP-03,1.97,46.4,8.14,101.6,ok
2026-09-20T06:16:00Z,DEMO-PUMP-04,1.88,44.2,7.95,101.0,ok
2026-09-20T06:17:00Z,DEMO-FAN-01,2.69,39.7,4.22,,ok
2026-09-20T06:17:00Z,DEMO-PUMP-03,2.03,44.2,8.16,100.4,ok
