timestamp_utc,asset_id,vibration_mm_s,bearing_temp_c,motor_current_a,flow_l_min,quality_flag
2026-09-20T06:00:00Z,DEMO-FAN-01,2.66,39.8,4.07,,ok
2026-09-20T06:00:00Z,DEMO-PUMP-03,2.09,44.9,8.15,98.6,ok
2026-09-20T06:00:00Z,DEMO-PUMP-04,2.12,44.5,7.89,99.6,ok
2026-09-20T06:01:00Z,DEMO-FAN-01,2.58,38.3,4.07,,ok
2026-09-20T06:01:00Z,DEMO-PUMP-03,2.10,44.8,7.87,98.3,ok
2026-09-20T06:01:00Z,DEMO-PUMP-04,2.05,44.7,8.15,100.2,ok
2026-09-20T06:02:00Z,DEMO-FAN-01,2.85,40.0,4.29,,ok
2026-09-20T06:02:00Z,DEMO-PUMP-03,2.13,45.8,8.09,99.9,ok
2026-09-20T06:02:00Z,DEMO-PUMP-04,1.91,45.3,7.82,98.9,ok
2026-09-20T06:03:00Z,DEMO-FAN-01,2.82,40.0,4.34,,ok
2026-09-20T06:03:00Z,DEMO-PUMP-03,1.83,45.7,7.93,100.3,ok
2026-09-20T06:03:00Z,DEMO-PUMP-04,2.14,46.2,8.08,98.5,ok
2026-09-20T06:04:00Z,DEMO-FAN-01,2.72,38.8,4.08,,ok
2026-09-20T06:04:00Z,DEMO-PUMP-03,1.87,44.4,7.97,98.4,ok
2026-09-20T06:04:00Z,DEMO-PUMP-04,2.08,44.2,7.92,101.5,ok
2026-09-20T06:05:00Z,DEMO-FAN-01,2.67,38.3,4.17,,ok
2026-09-20T06:05:00Z,DEMO-PUMP-03,2.10,45.2,8.03,99.6,ok
2026-09-20T06:05:00Z,DEMO-PUMP-04,1.82,45.5,8.18,98.1,ok
2026-09-20T06:06:00Z,DEMO-FAN-01,2.88,39.7,4.37,,ok
2026-09-20T06:06:00Z,DEMO-PUMP-03,1.88,44.4,8.10,99.5,ok
2026-09-20T06:06:00Z,DEMO-PUMP-04,2.09,46.9,7.93,100.2,ok
2026-09-20T06:07:00Z,DEMO-FAN-01,2.57,38.2,4.39,,ok
2026-09-20T06:07:00Z,DEMO-PUMP-03,2.11,45.4,8.13,100.0,ok
2026-09-20T06:07:00Z,DEMO-PUMP-04,2.08,44.0,8.11,100.5,ok
2026-09-20T06:08:00Z,DEMO-FAN-01,2.89,39.3,4.11,,ok
2026-09-20T06:08:00Z,DEMO-PUMP-03,2.06,45.5,7.82,101.9,ok
