timestamp_utc,asset_id,vibration_mm_s,bearing_temp_c,motor_current_a,flow_l_min,quality_flag
2026-09-20T06:00:00Z,DEMO-FAN-01,2.60,39.8,4.00,,ok
2026-09-20T06:00:00Z,DEMO-PUMP-03,2.00,,7.89,99.0,partial
2026-09-20T06:00:00Z,DEMO-PUMP-04,1.86,44.7,7.91,101.0,ok
2026-09-20T06:01:00Z,DEMO-FAN-01,2.79,39.9,4.36,,ok
2026-09-20T06:01:00Z,DEMO-PUMP-03,2.14,,8.09,101.6,partial
2026-09-20T06:01:00Z,DEMO-PUMP-04,1.87,44.5,8.03,99.2,ok
2026-09-20T06:02:00Z,DEMO-FAN-01,2.65,40.7,4.14,,ok
2026-09-20T06:02:00Z,DEMO-PUMP-03,2.09,,8.06,101.6,partial
2026-09-20T06:02:00Z,DEMO-PUMP-04,2.05,46.1,7.83,99.8,ok
2026-09-20T06:03:00Z,DEMO-FAN-01,2.91,40.4,4.07,,ok
2026-09-20T06:03:00Z,DEMO-PUMP-03,1.87,,7.87,100.5,partial
2026-09-20T06:03:00Z,DEMO-PUMP-04,1.94,45.8,7.80,101.4,ok
2026-09-20T06:04:00Z,DEMO-FAN-01,2.73,40.1,4.17,,ok
2026-09-20T06:04:00Z,DEMO-PUMP-03,2.09,,8.16,100.4,partial
2026-09-20T06:04:00Z,DEMO-PUMP-04,1.81,44.8,8.18,100.3,ok
2026-09-20T06:05:00Z,DEMO-FAN-01,2.84,38.4,4.23,,ok
2026-09-20T06:05:00Z,DEMO-PUMP-03,2.03,,8.05,100.1,partial
2026-09-20T06:05:00Z,DEMO-PUMP-04,2.20,45.4,8.16,100.9,ok
2026-09-20T06:06:00Z,DEMO-FAN-01,2.55,39.1,4.07,,ok
2026-09-20T06:06:00Z,DEMO-PUMP-03,2.13,,8.03,100.4,partial
2026-09-20T06:06:00Z,DEMO-PUMP-04,1.82,44.8,7.88,98.9,ok
2026-09-20T06:07:00Z,DEMO-FAN-01,2.55,39.9,4.00,,ok
2026-09-20T06:07:00Z,DEMO-PUMP-03,1.86,,7.81,98.9,partial
2026-09-20T06:07:00Z,DEMO-PUMP-04,2.02,45.8,7.93,101.4,ok
2026-09-20T06:08:00Z,DEMO-FAN-01,2.85,38.3,4.40,,ok
2026-09-20T06:08:00Z,DEMO-PUMP-03,1.92,,8.19,101.4,partial
2026-09-20T06:08:00Z,DEMO-PUMP-04,1.91,45.8,7.84,101.0,ok
2026-09-20T06:09:00Z,DEMO-FAN-01,2.90,39.7,4.22,,ok
2026-09-20T06:09:00Z,DEMO-PUMP-03,2.06,,7.91,98.3,partial
2026-09-20T06:09:00Z,DEMO-PUMP-04,1.93,46.8,8.02,100.9,ok
2026-09-20T06:10:00Z,DEMO-FAN-01,2.68,39.8,4.12,,ok
2026-09-20T06:10:00Z,DEMO-PUMP-03,2.00,,8.08,98.2,partial
2026-09-20T06:10:00Z,DEMO-PUMP-04,1.96,44.2,8.12,98.2,ok
2026-09-20T06:11:00Z,DEMO-FAN-01,2.86,39.5,4.39,,ok
2026-09-20T06:11:00Z,DEMO-PUMP-03,1.85,,7.84,98.1,partial
2026-09-20T06:11:00Z,DEMO-PUMP-04,1.95,45.2,7.86,98.0,ok
2026-09-20T06:12:00Z,DEMO-FAN-01,2.77,39.3,4.31,,ok
2026-09-20T06:12:00Z,DEMO-PUMP-03,1.92,,7.81,99.7,partial
