timestamp,asset_id,vibration_rms_mm_s,casing_temp_c
2026-09-25T00:00:00,P-3,2.80,41.2
2026-09-25T00:05:00,P-3,2.76,40.5
2026-09-25T00:10:00,P-3,2.73,40.4
2026-09-25T00:15:00,P-3,2.81,41.8
2026-09-25T00:20:00,P-3,2.73,40.6
2026-09-25T00:25:00,P-3,2.87,41.2
2026-09-25T00:30:00,P-3,2.82,40.4
2026-09-25T00:35:00,P-3,2.80,41.4
2026-09-25T00:40:00,P-3,2.60,40.7
2026-09-25T00:45:00,P-3,2.51,40.2
2026-09-25T00:50:00,P-3,2.52,40.9
2026-09-25T00:55:00,P-3,2.61,41.2
2026-09-25T01:00:00,P-3,2.82,40.9
2026-09-25T01:05:00,P-3,2.42,40.7
2026-09-25T01:10:00,P-3,2.79,41.1
2026-09-25T01:15:00,P-3,2.57,40.7
2026-09-25T01:20:00,P-3,2.65,40.5
2026-09-25T01:25:00,P-3,2.96,40.5
2026-09-25T01:30:00,P-3,2.80,41.5
2026-09-25T01:35:00,P-3,2.71,40.9
2026-09-25T01:40:00,P-3,2.82,41.0
2026-09-25T01:45:00,P-3,2.62,41.0
2026-09-25T01:50:00,P-3,3.00,40.1
2026-09-25T01:55:00,P-3,2.93,41.1
2026-09-25T02:00:00,P-3,2.70,42.2
2026-09-25T02:05:00,P-3,2.91,40.3
2026-09-25T02:10:00,P-3,2.81,41.3
2026-09-25T02:15:00,P-3,2.77,41.4
2026-09-25T02:20:00,P-3,2.79,41.4
2026-09-25T02:25:00,P-3,3.02,40.6
2026-09-25T02:30:00,P-3,2.83,40.7
2026-09-25T02:35:00,P-3,2.82,40.3
2026-09-25T02:40:00,P-3,2.71,40.9
2026-09-25T02:45:00,P-3,2.93,41.7
2026-09-25T02:50:00,P-3,2.60,40.5
2026-09-25T02:55:00,P-3,2.90,39.8
2026-09-25T03:00:00,P-3,2.73,40.9
2026-09-25T03:05:00,P-3,2.99,41.4
2026-09-25T03:10:00,P-3,2.75,40.8
2026-09-25T03:15:00,P-3,2.76,41.9
2026-09-25T03:20:00,P-3,2.74,40.8
2026-09-25T03:25:00,P-3,2.85,40.9
2026-09-25T03:30:00,P-3,2.77,40.3
2026-09-25T03:35:00,P-3,2.80,40.7
2026-09-25T03:40:00,P-3,2.97,41.4
2026-09-25T03:45:00,P-3,2.80,41.4
2026-09-25T03:50:00,P-3,2.75,41.6
2026-09-25T03:55:00,P-3,2.80,41.4
2026-09-25T04:00:00,P-3,2.61,41.2
2026-09-25T04:05:00,P-3,2.55,39.8
2026-09-25T04:10:00,P-3,2.75,40.5
2026-09-25T04:15:00,P-3,2.82,42.3
2026-09-25T04:20:00,P-3,2.68,40.6
2026-09-25T04:25:00,P-3,2.83,41.3
2026-09-25T04:30:00,P-3,2.77,40.9
2026-09-25T04:35:00,P-3,2.91,41.3
2026-09-25T04:40:00,P-3,2.64,41.0
2026-09-25T04:45:00,P-3,2.81,40.4
2026-09-25T04:50:00,P-3,2.84,40.5
2026-09-25T04:55:00,P-3,2.95,41.1
2026-09-25T05:00:00,P-3,2.81,40.6
2026-09-25T05:05:00,P-3,2.78,39.8
2026-09-25T05:10:00,P-3,2.63,41.2
2026-09-25T05:15:00,P-3,2.48,41.5
2026-09-25T05:20:00,P-3,2.54,41.5
2026-09-25T05:25:00,P-3,2.67,41.5
2026-09-25T05:30:00,P-3,2.82,40.1
2026-09-25T05:35:00,P-3,2.99,41.9
2026-09-25T05:40:00,P-3,2.79,40.8
2026-09-25T05:45:00,P-3,2.78,40.4
2026-09-25T05:50:00,P-3,2.96,40.7
2026-09-25T05:55:00,P-3,2.79,40.5
2026-09-25T06:00:00,P-3,2.71,40.2
2026-09-25T06:05:00,P-3,2.99,40.9
2026-09-25T06:10:00,P-3,2.94,41.0
2026-09-25T06:15:00,P-3,2.70,40.8
2026-09-25T06:20:00,P-3,2.72,41.0
2026-09-25T06:25:00,P-3,2.74,40.8
2026-09-25T06:30:00,P-3,2.59,40.5
2026-09-25T06:35:00,P-3,3.05,40.6
2026-09-25T06:40:00,P-3,2.64,41.2
2026-09-25T06:45:00,P-3,3.01,40.1
2026-09-25T06:50:00,P-3,2.77,40.6
2026-09-25T06:55:00,P-3,2.54,41.4
2026-09-25T07:00:00,P-3,2.80,41.0
2026-09-25T07:05:00,P-3,2.69,41.3
2026-09-25T07:10:00,P-3,2.72,40.9
2026-09-25T07:15:00,P-3,2.63,40.3
2026-09-25T07:20:00,P-3,3.00,40.7
2026-09-25T07:25:00,P-3,2.84,41.0
2026-09-25T07:30:00,P-3,2.73,40.7
2026-09-25T07:35:00,P-3,2.89,40.8
2026-09-25T07:40:00,P-3,2.78,41.0
2026-09-25T07:45:00,P-3,2.98,41.4
2026-09-25T07:50:00,P-3,2.86,40.7
2026-09-25T07:55:00,P-3,2.59,41.6
2026-09-25T08:00:00,P-3,2.94,40.9
2026-09-25T08:05:00,P-3,2.88,41.5
2026-09-25T08:10:00,P-3,2.92,41.6
2026-09-25T08:15:00,P-3,2.73,41.9
2026-09-25T08:20:00,P-3,2.61,41.5
2026-09-25T08:25:00,P-3,2.87,41.5
2026-09-25T08:30:00,P-3,3.08,41.9
2026-09-25T08:35:00,P-3,2.63,40.0
2026-09-25T08:40:00,P-3,2.92,40.4
2026-09-25T08:45:00,P-3,2.80,41.5
2026-09-25T08:50:00,P-3,2.55,39.7
2026-09-25T08:55:00,P-3,2.84,41.0
2026-09-25T09:00:00,P-3,2.76,41.0
2026-09-25T09:05:00,P-3,2.67,40.1
2026-09-25T09:10:00,P-3,2.78,40.4
2026-09-25T09:15:00,P-3,2.55,41.3
2026-09-25T09:20:00,P-3,2.79,41.2
2026-09-25T09:25:00,P-3,2.65,40.6
2026-09-25T09:30:00,P-3,2.65,40.5
2026-09-25T09:35:00,P-3,2.83,40.5
2026-09-25T09:40:00,P-3,2.85,41.2
2026-09-25T09:45:00,P-3,3.10,40.2
2026-09-25T09:50:00,P-3,2.93,40.9
2026-09-25T09:55:00,P-3,2.80,40.1
2026-09-25T10:00:00,P-3,2.73,41.4
2026-09-25T10:05:00,P-3,2.79,41.0
2026-09-25T10:10:00,P-3,2.76,41.7
2026-09-25T10:15:00,P-3,2.80,39.7
2026-09-25T10:20:00,P-3,2.70,39.8
2026-09-25T10:25:00,P-3,2.31,40.7
2026-09-25T10:30:00,P-3,3.00,41.0
2026-09-25T10:35:00,P-3,2.62,40.4
2026-09-25T10:40:00,P-3,2.97,41.1
2026-09-25T10:45:00,P-3,2.81,41.0
2026-09-25T10:50:00,P-3,2.81,41.5
2026-09-25T10:55:00,P-3,2.88,41.1
2026-09-25T11:00:00,P-3,2.64,41.3
2026-09-25T11:05:00,P-3,2.70,41.7
2026-09-25T11:10:00,P-3,2.61,40.9
2026-09-25T11:15:00,P-3,2.80,40.2
2026-09-25T11:20:00,P-3,3.06,41.9
2026-09-25T11:25:00,P-3,2.73,41.5
2026-09-25T11:30:00,P-3,2.86,39.4
2026-09-25T11:35:00,P-3,2.84,41.0
2026-09-25T11:40:00,P-3,2.81,40.4
2026-09-25T11:45:00,P-3,2.76,40.9
2026-09-25T11:50:00,P-3,2.98,41.2
2026-09-25T11:55:00,P-3,2.80,41.9
2026-09-25T12:00:00,P-3,2.72,40.8
